nom,date,annee,mois,temp_moy_c,source,lat,lon,altitude,tas_chelsa_C,pr_chelsa_mm,alt_mnt,delta_alt,mois_sin,mois_cos
BELCAIRE,2000-01-15,2000,1,1.3935483870967742,METEOFRANCE,42.8,1.968,980,-0.25,17.0,1214,-234,0.49999999999999994,0.8660254037844387
BELCAIRE,2000-02-15,2000,2,5.796551724137931,METEOFRANCE,42.8,1.968,980,4.15,122.0,1214,-234,0.8660254037844386,0.5000000000000001
BELCAIRE,2000-03-15,2000,3,5.664516129032258,METEOFRANCE,42.8,1.968,980,4.35,68.0,1214,-234,1.0,6.123233995736766e-17
BELCAIRE,2000-04-15,2000,4,7.29,METEOFRANCE,42.8,1.968,980,6.55,103.0,1214,-234,0.8660254037844387,-0.4999999999999998
BELCAIRE,2000-05-15,2000,5,12.396774193548389,METEOFRANCE,42.8,1.968,980,11.55,80.0,1214,-234,0.49999999999999994,-0.8660254037844387
BELCAIRE,2000-06-15,2000,6,15.093333333333334,METEOFRANCE,42.8,1.968,980,14.45,216.0,1214,-234,1.2246467991473532e-16,-1.0
BELCAIRE,2000-07-15,2000,7,15.803225806451612,METEOFRANCE,42.8,1.968,980,14.85,76.0,1214,-234,-0.4999999999999997,-0.8660254037844388
BELCAIRE,2000-08-15,2000,8,17.35483870967742,METEOFRANCE,42.8,1.968,980,16.25,72.0,1214,-234,-0.8660254037844384,-0.5000000000000004
BELCAIRE,2000-09-15,2000,9,14.51,METEOFRANCE,42.8,1.968,980,13.35,40.0,1214,-234,-1.0,-1.8369701987210297e-16
BELCAIRE,2000-10-15,2000,10,9.341935483870968,METEOFRANCE,42.8,1.968,980,8.35,111.0,1214,-234,-0.8660254037844386,0.5000000000000001
BELCAIRE,2000-11-15,2000,11,5.613333333333333,METEOFRANCE,42.8,1.968,980,4.15,81.0,1214,-234,-0.5000000000000004,0.8660254037844384
BELCAIRE,2000-12-15,2000,12,5.529032258064516,METEOFRANCE,42.8,1.968,980,3.65,58.0,1214,-234,-2.4492935982947064e-16,1.0
BELCAIRE,2001-01-15,2001,1,3.55483870967742,METEOFRANCE,42.8,1.968,980,1.75,160.0,1214,-234,0.49999999999999994,0.8660254037844387
BELCAIRE,2001-02-15,2001,2,3.4035714285714285,METEOFRANCE,42.8,1.968,980,0.95,42.0,1214,-234,0.8660254037844386,0.5000000000000001
BELCAIRE,2001-03-15,2001,3,8.46774193548387,METEOFRANCE,42.8,1.968,980,7.15,105.0,1214,-234,1.0,6.123233995736766e-17
BELCAIRE,2001-04-15,2001,4,6.4,METEOFRANCE,42.8,1.968,980,5.55,131.0,1214,-234,0.8660254037844387,-0.4999999999999998
BELCAIRE,2001-05-15,2001,5,11.303225806451612,METEOFRANCE,42.8,1.968,980,10.15,64.0,1214,-234,0.49999999999999994,-0.8660254037844387
BELCAIRE,2001-06-15,2001,6,15.44,METEOFRANCE,42.8,1.968,980,14.25,60.0,1214,-234,1.2246467991473532e-16,-1.0
